CLUSTER,APOGEE_ID,C_O,sigma_CO,C_FE,O_FE,FE_H,FE_H_ERR,SNR,TEFF,LOGG,VHELIO_AVG,RA,DEC,age_gyr,logage,MG_FE,SI_FE,AL_FE,RV_PROB,FEH_PROB,PM_PROB
ASCC 16,2M05215832+0112140,0.7204509932745596,0.04690403125092826,-0.152387,-0.2704191,-0.35992,0.01851302,120.0118,3691.354,4.329565,20.26301,80.493005,1.203896,0.013489632380568446,7.130000114440918,-0.3334515,-0.224807,-9999.0,0.99,0.0,0.77
ASCC 16,2M05220307+0107141,0.6535945985745947,0.027115062848152537,0.01663901,-0.0590971,-0.14708,0.00980365,169.4978,4180.643,4.555808,20.38576,80.512798,1.120588,0.013489632380568446,7.130000114440918,-0.1080415,-0.079207,-9999.0,1.0,0.46,2.0
ASCC 16,2M05221986+0201387,0.6738176076948568,0.03418521506319644,-0.002658099,-0.09162811,-0.073179,0.01258912,113.8484,4077.786,4.561251,21.08953,80.582752,2.027443,0.013489632380568446,7.130000114440918,-0.08672749,-0.122293,-9999.0,0.89,0.83,0.0
ASCC 16,2M05225965+0120089,0.6325304604479156,0.022379043054780622,0.005494,-0.0560151,0.020433,0.009535871,127.5707,3889.98,4.602692,21.56398,80.748562,1.335829,0.013489632380568446,7.130000114440918,-0.07497249,-0.012031,-9999.0,0.7,0.01,0.63
ASCC 16,2M05231240+0054476,0.37191307306288834,0.08963742732131268,-0.111479,0.0576519,-0.034461,0.005237696,356.3133,6088.797,3.961087,20.33703,80.801682,0.913235,0.013489632380568446,7.130000114440918,-0.1154005,0.017167,0.012228,1.0,0.29,2.0
ASCC 16,2M05233550+0135409,0.5982690612958568,0.02415986680357909,-0.0160609,-0.0533851,-0.10331,0.01110837,146.8024,3823.227,4.592085,21.66029,80.897925,1.594722,0.013489632380568446,7.130000114440918,-0.0661215,-0.058617,-9999.0,0.66,0.99,0.74
ASCC 16,2M05235154+0103250,0.6671960284397777,0.02693555325102828,0.009595998,-0.07508511,-0.1085,0.01036689,150.2088,4009.678,4.584008,20.83664,80.964774,1.05696,0.013489632380568446,7.130000114440918,-0.0961215,-0.048167,-9999.0,0.96,0.96,0.68
ASCC 16,2M05240156+0137047,0.5938938738445863,0.02606397894972671,0.007384401,-0.0267521,-0.051978,0.01232115,100.8723,3761.303,4.602744,40.59654,81.006522,1.617992,0.013489632380568446,7.130000114440918,0.1707305,0.09866001,-9999.0,0.0,0.53,0.61
ASCC 16,2M05240425+0148303,0.5708387473479444,0.022294900994602018,-0.029468,-0.0464091,0.026122,0.01119295,121.0458,3683.521,4.591597,20.0293,81.017725,1.808425,0.013489632380568446,7.130000114440918,-0.0284165,-0.005947001,-9999.0,0.95,0.01,0.56
ASCC 16,2M05240873+0108109,0.5234454685090943,0.023880415058645212,-0.060838,-0.0401371,-0.099971,0.008196984,167.4885,4578.987,4.470732,20.97128,81.03641,1.136366,0.013489632380568446,7.130000114440918,-0.04355049,0.019462,-0.02969299,0.92,1.0,0.44
