name,ra,dec,tic_id,Tmag,R_star,M_star,Teff,n_sectors,baseline_d,n_pts,rms_ppm,P_d,dur_h,depth_ppm,T0_BTJD,sde,R_p_Rearth,a_AU,T_eq_K,is_systematic_period,proc_time_s,status,centroid_offset_arcsec,centroid_sigma,centroid_direction_R,centroid_verdict,eb_screen_verdict,eb_n_pass,eb_n_inconc,eb_n_fail,eb_sde_ratio_2P_1P,eb_oddeven_sigma,eb_posfrac,eb_duration_ratio,eb_companion_RJup,eb_secondary_ppm
2M16505595+5929079,252.733125,59.485554,,,1.1378841419372892,1.0345333366880374,6114.3696,16.0,1979.4714931143685,244991.0,1627.0528137376311,225.49811992479692,4.800000000000001,1062.0755483624655,1777.7940633432092,4.129190016010468,4.049471889265679,0.7333027220364352,367.275946777689,False,73.94056749343872,no_signal_SDE_4.1,,,,,,,,,,,,,,
2M19420596+6546497,295.524857,65.780487,,,1.1745774059402818,0.9002047186646975,4849.307,31.0,1979.472115753221,470965.0,4197.533538476386,5.170826833073322,4.800000000000001,3049.457238039364,1685.8192475110886,17.278589031642248,7.082972485824166,0.0565058754468248,1066.122532777138,False,107.55033922195436,SDE_OK_INCONCLUSIVE,0.0025187651011698,9.35588551190355,0.3582686063007439,INCONCLUSIVE (significant offset but direction scatters across sectors),EB_REJECT,4.0,0.0,2.0,0.6818179427318861,0.2237835875378847,0.8029197080291971,1.7535138494405496,0.6318441111350727,1262.9031982421875
2M16232658+6757309,245.860783,67.958603,,,0.8696656599830694,0.8999374881292467,4846.908,2.0,78.69289223285864,31538.0,2759.090480885053,19.99396528534297,1.2000000000000002,1975.66932462628,1697.358235328899,5.257773777510204,4.221162666530412,0.1391906043569653,584.2105597283054,False,26.972898483276367,no_signal_SDE_5.3,,,,,,,,,,,,,,
2M16550664+6034097,253.777674,60.569386,,,0.8836964754210452,0.949064973917162,5295.8716,16.0,1979.4716346848147,241807.0,2632.997775447209,236.66618664746588,3.6,1858.984222111304,1748.8340148022835,6.1366782543741,4.160673272887908,0.7358613184497124,279.849443083738,False,78.02719831466675,no_signal_SDE_6.1,,,,,,,,,,,,,,
2M16572376+5937015,254.349031,59.6171,nan,,1.813375358696588,1.048665836894794,6254.214,11.0,868.4661684789085,171697.0,885.2586030595405,143.45923836953477,2.4000000000000004,411.1479972919198,1965.7564450928867,5.994930322093908,4.015220850425309,0.5448846465638331,550.1710482442045,False,76.8019347190857,no_signal_SDE_6.0,,,,,,,,,,,,,,
2M16570811+5941317,254.283833,59.692142,nan,,1.154042096721425,1.0071496410480991,5847.015,6.0,978.8831287328248,86679.0,2349.7382386332315,15.799951998079923,1.2000000000000002,885.1457349562469,1748.7468287033887,10.201996015846053,3.7493128476669195,0.12352125514490173,861.8022254738521,False,58.636751890182495,SDE_OK_ON_TARGET_SURVIVED,0.005223343168170374,1.268664877374983,0.5731913665752664,ON_TARGET (offset not significant),SURVIVED,5.0,1.0,0.0,0.6905466753685513,0.1416690141738138,1.0,0.2333928133378499,0.33446144939044775,-128.57492159956684
2M16571584+5930300,254.316038,59.508347,nan,,1.5863106273201697,1.0524943363552302,6292.3154,42.0,1979.4714273980064,657477.0,417.02908337454596,185.85597423896954,1.2000000000000002,441.4890034459932,1737.1691147899048,8.23643350369176,3.639743821328046,0.6483319982836194,474.6126371054047,False,159.33683729171753,SDE_OK_ON_TARGET_EB_REJECT,0.0022026995188272032,1.4319161414429782,0.378819997782159,ON_TARGET (offset not significant),EB_REJECT,2.0,3.0,1.0,0.9643991451685902,,0.6666666666666666,0.14706892476449743,0.3246872275939381,30.779710560091544
2M19472318+6441322,296.8466,64.692291,nan,,0.8362435338124528,0.9323383431292152,5141.227,32.0,1979.47193342294,512910.0,2966.4179409967937,175.15698627945116,4.800000000000001,1452.312936522317,1848.0293590673514,4.020821108911458,3.4800502418292942,0.5985255230051275,293.03888573417026,False,134.74438214302063,no_signal_SDE_4.0,,,,,,,,,,,,,,
2M19395282+6500494,294.970119,65.013741,nan,,0.9179598910599,0.9693852593675722,5486.199,31.0,1979.469183304974,499396.0,783.259353800298,244.93993759750387,4.800000000000001,2157.61039828538,1750.6393242838794,6.5833177397900675,4.656213196241148,0.7582487842763921,291.07906680126496,False,136.69091200828552,no_signal_SDE_6.6,,,,,,,,,,,,,,
2M19395282+6500494,294.970119,65.013741,nan,,0.9087708888589184,0.9782708508276644,5570.2676,31.0,1979.469183304974,499396.0,783.259353800298,244.93993759750387,4.800000000000001,2157.61039828538,1750.6393242838794,6.5833177397900675,4.609603367505498,0.76055849801799,293.6096848764094,False,97.44944953918457,no_signal_SDE_6.6,,,,,,,,,,,,,,
