cluster,age_gyr,n_match,n_ba,cl_ba_fe,match_ba_median,rand_ba_median,delta_match,delta_rand,closer,mw_p
Dolidze_32,0.102329353157667,16865,16847,0.032859526574611664,-0.0202663391828537,-0.005958769470453262,0.09831977635622025,0.11380638927221298,True,0.0
ESO_130_08,0.1778279410038923,18245,18046,0.039916738867759705,0.05023052170872688,-0.007114944979548454,0.099093496799469,0.11557276546955109,True,0.0
ESO_166_04,0.1995263191254866,6205,6078,0.05544067546725273,0.03199825808405876,-0.007487405091524124,0.09501314163208008,0.11952823400497437,True,0.0
ESO_211_03,1.288248533293805,26617,26426,0.25202906131744385,0.055873531848192215,-0.006405197083950043,0.19985580444335938,0.26220011711120605,True,0.0
ESO_226_06,0.0323593827469971,26392,26209,0.027607131749391556,0.05082317441701889,-0.005392115563154221,0.09777332842350006,0.1124802678823471,True,0.0
ESO_312_04,0.044668369023895,16390,16288,0.2247069627046585,0.039296675473451614,-0.004095073789358139,0.1910126954317093,0.23514370620250702,True,0.0
ESO_371_25,2.041739917404129,17606,17421,0.12046653777360916,0.052126914262771606,-0.004678327590227127,0.11826290935277939,0.15065598487854004,True,0.0
FSR_0088,0.1659587927845761,25553,25512,0.18090854585170746,0.0066318027675151825,-0.005339210852980614,0.179048553109169,0.19692017138004303,True,0.0
FSR_1032,,13240,13124,0.20034074783325195,0.030678272247314453,-0.0044071730226278305,0.1742658019065857,0.21219384670257568,True,0.0
FSR_1171,,9899,9623,0.0766133964061737,0.06760021299123764,-0.0049006156623363495,0.10658645629882812,0.1281372457742691,True,0.0
FSR_1252,0.8511386362915022,6295,6160,0.2923564314842224,0.12229612469673157,-0.00728459469974041,0.1787014901638031,0.30255594849586487,True,0.0
FSR_1260,0.1412536303897631,17735,17392,0.17708203196525574,0.06907235085964203,-0.004316931590437889,0.13456422090530396,0.19192546606063843,True,0.0
FSR_1297,,18801,18456,0.1198635995388031,0.06172599643468857,-0.004060693085193634,0.11482596397399902,0.1504250466823578,True,0.0
FSR_1335,0.0112201894707378,14332,13926,0.15411290526390076,0.05787373706698418,-0.003998814150691032,0.127557635307312,0.1748407781124115,True,0.0
FSR_1361,0.2884031756450284,16202,16067,0.09689151495695114,0.02383796125650406,-0.00566771999001503,0.1119467094540596,0.1385829597711563,True,0.0
FSR_1363,0.2238723104986867,15306,14967,0.27126237750053406,0.0627536028623581,-0.006785493344068527,0.2134200781583786,0.2816925644874573,True,0.0
FSR_1419,1.621810239813303,16608,16447,0.04608076438307762,0.04504933953285217,-0.006756417453289032,0.10102999210357666,0.11635975539684296,True,0.0
FSR_1586,,28655,28507,0.12813623249530792,0.04995817691087723,-0.006814967840909958,0.11990277469158173,0.15684069693088531,True,0.0
FSR_1591,,15984,15749,0.10033389180898666,0.04917027801275253,-0.00475812703371048,0.11335373669862747,0.13986274600028992,True,0.0
FSR_1595,0.6918312139914402,16678,16608,0.1324731409549713,0.003924332559108734,-0.002220451831817627,0.14641119539737701,0.1582871675491333,True,6.5340314e-37
FSR_1750,,9070,9055,-0.10002849996089935,-0.09809507429599762,-0.009165048599243164,0.06844618916511536,0.12296503782272339,True,0.0
Ferrero_11,0.2818381693478142,19686,19419,0.08710504323244095,0.05798695981502533,-0.005955945700407028,0.10697754472494125,0.1336863934993744,True,0.0
