cluster_name,fe_h,mg_fe,mg_pred,mg_resid,mg_zscore,off_locus,age_gyr,age_bin,C_O_std,ra_cl,dec_cl,dist_cl,si_fe,al_fe,ba_fe,eu_fe,mn_fe,ni_fe
BH_23,-0.163636278,0.0206127734875,0.0368329144646297,-0.0162201409771297,-0.497432382345122,False,0.0288403175645028,<0.1,0.0501,123.449,-36.329,0.4430660168365086,0.0770849004166666,0.0258451606666666,0.1620362401008606,0.1094609424471855,-0.0658948644995689,0.0395689867436885
BH_54,-0.1183581397999999,0.0301561492,0.0285403038957389,0.001615845304261,0.0495540563015504,False,0.0087096370470987,<0.1,0.092,132.413,-44.353,2.380952380952381,0.1238561129999999,-0.0147025956,0.1414758861064911,0.2915233671665191,0.0442800857126712,0.0312137249857187
BH_56,-0.09946482475,-0.03759038425,0.0253355498489814,-0.0629259340989814,-1.9297857740128856,False,0.0177827941003892,<0.1,0.0503,134.355,-43.181,0.9276437847866419,0.12982149425,0.0416881274999999,0.2489310652017593,,0.0720525905489921,0.0242308545857667
BH_66,-0.028043793125,0.017570278125,0.0145802989376571,0.0029899791873428,0.091695409578707,False,0.7244353873869618,0.5-1,0.0738,141.314,-54.719,10.309278350515463,0.04287505739,0.076010333975,0.1846091151237487,0.1419895738363266,-0.0181214027106761,0.0070571517571806
BH_67,0.0649971092666666,-0.0373227166666666,0.0037942473177728,-0.0411169639844395,-1.260957557546309,False,0.6165949477018448,0.5-1,0.0839,141.687,-51.273,10.204081632653061,0.0396086886666666,0.0071702766666666,0.1705993860960006,0.0928176119923591,-0.0282645542174577,0.0375673361122608
BH_72,-0.070212632556,-0.0185142215333333,0.0206705054244232,-0.0391847269577565,-1.2017005345158938,False,0.2238723104986867,0.1-0.3,0.0651,142.838,-53.04,9.090909090909092,0.07688627476,0.0223160275333333,0.1443399339914322,0.1414398550987243,0.0129448333755135,0.0299321338534355
BH_78,0.047097817875,-0.029263777625,0.0055858145142702,-0.0348495921392702,-1.06875246436117,False,0.3388439477987164,0.3-0.5,0.096,145.952,-56.574,6.666666666666667,0.0433161493124999,0.099249729175,0.1049208492040634,0.2315713465213775,0.0414130575954914,0.0408639088273048
BH_84,0.0297091133181818,-0.0106518959954545,0.0074555988465342,-0.0181074948419887,-0.5553129476650432,False,0.1348963238056844,0.1-0.3,0.1246,150.331,-58.218,5.0,0.0425031101681818,0.0571111978181818,0.0787523314356803,0.1300598084926605,0.0221136920154094,0.0317774973809719
BH_85,-0.0813987431846154,0.0174324307692307,0.0224118384319342,-0.0049794076627035,-0.1527063556240723,False,2.290865841769215,2-5,0.1238,150.469,-49.564,9.433962264150944,0.0675724339230769,0.089483093076923,0.0849701538681984,0.1457243263721466,-0.0212089512497186,0.0451437830924987
BH_90,-0.0492250512,0.0701647785999999,0.0175456977964934,0.0526190808035065,1.613699582377518,False,0.1258926517592568,0.1-0.3,0.1024,153.064,-58.069,2.710027100271003,0.087790286,0.1002191059999999,0.1037239655852317,0.0307300277054309,-0.0323182456195354,0.0331507697701454
BH_92,0.0059269947692307,-0.0123481974384615,0.01021921593374,-0.0225674133722015,-0.6920878315995891,False,0.2137961713919407,0.1-0.3,0.1424,154.779,-56.425,2.5773195876288657,0.0162533792307692,0.0477403276307692,0.2063990235328674,0.2382551729679107,0.0102928094565868,0.0053762821480631
BH_99,-0.0604197504210526,0.0042266001363157,0.0191893539286308,-0.014962753792315,-0.4588713671385041,False,0.0954992627963111,<0.1,0.1107,159.553,-59.168,0.449438202247191,0.0571507372105263,0.0562459602105263,0.1546831727027893,0.1436281055212021,0.0158341694623231,0.0350461639463901
Basel_17,-0.0499809278333333,0.0035359624999999,0.0176550160438398,-0.0141190535438398,-0.4329971268852322,False,0.1047129651766653,0.1-0.3,0.1139,167.65,-59.047,2.2831050228310503,0.067051864,0.0440779941666666,0.1264003366231918,0.1373135298490524,-0.012516257353127,0.0310346111655235
Basel_18,-0.0503885588888888,0.0566629841111111,0.0177140694215059,0.0389489146896051,1.1944687442066624,False,0.0275422906622152,<0.1,0.0901,201.967,-62.306,1.968503937007874,0.0354715354444444,0.0844049186666666,0.0305018499493598,0.1894686371088028,-0.0304998327046632,0.0524745769798755
Basel_8,-0.1027892032999999,-0.0167446166083333,0.0258885351380695,-0.0426331517464028,-1.307455358741708,False,0.069183121399144,<0.1,0.1308,98.55,8.005,1.6,0.0612394289999999,-0.0068436831666666,0.1209765300154686,0.1478448510169983,-0.056938100606203,0.0115224393084645
Berkeley_20,-0.03350337,0.0031058280459999,0.0153265555824201,-0.0122207275364201,-0.3747800725655483,False,4.786304286528699,2-5,0.0735,83.152,0.185,25.0,0.071956017,0.0178278981999999,0.0448134616017341,0.2150421142578125,0.0027507066261023,0.0639766305685043
Berkeley_22,-0.2092275220666666,0.0569090959556666,0.0460560000779289,0.0108530958777376,0.3328381267397839,False,2.454710856206481,2-5,0.0805,89.618,7.763,14.492753623188404,0.0832854022066666,0.0845528218933333,0.1306461542844772,0.194390594959259,-0.0542948804795742,0.0155365793034434
Berkeley_24,-0.2450342626666666,0.056810068,0.0539139543987648,0.0028961136012351,0.0888167797207063,False,1.4125363038976315,1-2,0.1112,99.452,-0.874,6.410256410256411,0.12845978,0.1063265982666666,0.2559469044208526,0.232353001832962,-0.068631924688816,0.0191653538495302
Berkeley_25,-0.1121493665947368,0.0461232538578947,0.0274705506130752,0.0186527032448194,0.5720331669946442,False,2.454710856206481,2-5,0.1369,100.317,-16.487,12.987012987012987,0.0826048613421052,0.0669215942631579,0.0477617867290973,0.1474132686853408,-0.0333698280155658,0.0263145714998245
Berkeley_32,-0.2583733836388889,0.0487724271111111,0.0569794497729601,-0.008207022661849,-0.2516894791728476,False,4.897783461428336,2-5,0.0855,104.53,6.433,3.571428571428571,0.0693101529777777,0.0413961357716666,0.1425853967666626,0.2671187222003937,-0.0663278326392173,0.0286699999123811
Berkeley_33,-0.1654301445555555,0.0517195451111111,0.0371792543655577,0.0145402907455533,0.4459154501646759,False,0.2344228197592381,0.1-0.3,0.0777,104.456,-13.227,6.944444444444445,0.1373469611111111,0.0533497269999999,0.0919907018542289,0.310706079006195,-0.0288960561156272,0.0437902510166168
Berkeley_39,-0.1537422870785714,0.0380041703785714,0.0349470639336452,0.0030571064449261,0.0937540397538123,False,5.62341325190349,>5,0.0526,116.702,-4.665,4.975124378109452,0.0533687895714285,0.0171099005621428,0.1987693160772323,0.2263047397136688,-0.0688397362828254,0.0089270416647195
Berkeley_73,-0.2812567069230769,0.0633530781538461,0.0624130147148895,0.0009400634389565,0.0288294655795568,False,1.4125363038976315,1-2,0.0751,95.52,-6.321,7.8125,0.0986239623076923,0.0763082310538461,0.105449840426445,0.2841059267520904,-0.0299122240394353,0.0364345200359821
Berkeley_75,-0.2061560328888889,0.056241156534074,0.045407114850328,0.010834041683746,0.3322537808253863,False,1.698241862446276,1-2,0.1216,102.252,-23.999,11.363636363636365,0.093698485717037,0.0769504872592592,0.0310445539653301,0.1291902214288711,-0.0576332546770572,0.0245666541159153
Berkeley_78,-0.2043760180416666,0.0595280684916666,0.0450328875452515,0.0144951809464151,0.4445320420374553,False,3.890452816839944,2-5,0.0926,110.913,5.37,5.347593582887701,0.0821479268375,0.0615042488166666,0.2484692335128784,0.3086907863616943,-0.0698594078421592,0.0286588054150342
Bica_3,0.0055913046666666,0.0096988379333333,0.0102599313319483,-0.0005610933986149,-0.0172073736217646,False,,,0.1763,276.519,-13.058,2.557544757033248,0.081713482,0.1009440213333333,0.0847029313445091,0.1908529251813888,0.0455276444554328,0.0307594332844018
