cluster,age_gyr,N_template,C_O_std,observed,mc_median,mc_std,enrichment,p_value,significant
ESO_226_06,0.0323593827469971,5,0.0532,26392,7166.5,8939.878716599012,3.6826902951231424,0.055,False
ESO_312_04,0.044668369023895,13,0.073,16390,5056.5,8925.281462383973,3.241372490853357,0.23,False
ESO_371_25,2.041739917404129,16,0.0784,17606,4922.5,9021.608013630386,3.5766378872524123,0.18,False
FSR_0088,0.1659587927845761,19,0.0713,25553,6338.0,8509.499114329526,4.031713474282108,0.045,False
FSR_1032,,6,0.0932,13240,5589.5,8726.209004344326,2.368727077556132,0.29,False
FSR_1171,,15,0.0594,9899,5226.0,9022.57435734946,1.8941829314963643,0.33,False
FSR_1252,0.8511386362915022,10,0.0881,6295,5682.5,8458.785791044422,1.1077870655521338,0.47,False
FSR_1260,0.1412536303897631,14,0.0744,17735,5377.0,7908.918257370915,3.2983076064720103,0.13,False
FSR_1297,,23,0.0769,18801,6146.5,8026.073133903964,3.0588139591637518,0.12,False
FSR_1335,0.0112201894707378,7,0.0853,14332,5517.0,8186.0329934529345,2.5977886532535797,0.23,False
FSR_1361,0.2884031756450284,10,0.0622,16202,5676.0,8266.054628779984,2.854474982381959,0.18,False
FSR_1363,0.2238723104986867,21,0.0743,15306,4712.0,8690.544780643788,3.24830220713073,0.18,False
FSR_1419,1.621810239813303,20,0.0897,16608,6261.5,8512.015709125542,2.652399584764034,0.21,False
FSR_1586,,19,0.0885,28655,5407.0,8204.929994923783,5.299611614573701,0.02,False
FSR_1591,,6,0.0388,15984,5516.5,8397.470906944245,2.897489350131424,0.195,False
FSR_1595,0.6918312139914402,8,0.0833,16678,5544.0,8727.395825271993,3.0082972582972585,0.175,False
FSR_1750,,7,0.0858,9070,5954.0,9231.281111242091,1.5233456499832045,0.405,False
Ferrero_11,0.2818381693478142,12,0.0653,19686,6373.5,8425.618466675012,3.0887267592374674,0.13,False
Gulliver_1,1.380385355838289,20,0.097,18708,5521.0,8313.541095632776,3.388516573084586,0.16,False
Gulliver_27,0.602559215586761,19,0.0918,26818,5701.5,8703.560106071538,4.703674471630273,0.045,False
Gulliver_39,0.6165949477018448,9,0.084,28911,4610.5,8719.382923738067,6.270686476520985,0.035,False
Gulliver_46,0.0117489801933541,10,0.0716,16811,7415.0,9372.175218932636,2.2671611598111934,0.23,False
Gulliver_50,0.0407380403044348,5,0.0722,33807,6113.0,8580.977351605994,5.530345166039588,0.01,False
Gulliver_52,0.4786304286528699,6,0.0836,21240,4882.5,8015.840975961288,4.350230414746544,0.09,False
Gulliver_7,0.4786304286528699,7,0.0543,16917,5564.5,8579.317453037858,3.0401653338125616,0.195,False
Haffner_26,0.5370312303176601,16,0.0891,22555,5492.5,9201.198396946726,4.106508875739645,0.12,False
Haffner_9,0.3801893295314407,12,0.0973,18347,5669.0,8211.032451987996,3.2363732580702065,0.135,False
Hogg_4,1.4791086480080835,22,0.0889,26633,5159.5,8766.368186368572,5.161934295958911,0.06,False
IC_2391,0.0288403175645028,9,0.0942,23310,7340.0,8474.027238592049,3.17574931880109,0.07,False
IC_2581,0.0102329353157667,11,0.076,22186,4141.0,8628.28547659383,5.357643081381309,0.105,False
IC_2602,0.0363078006932764,60,0.0937,20216,6604.0,7663.524671167961,3.061175045427014,0.09,False
IC_2714,0.5248077829311784,11,0.0677,10031,5720.0,8386.202202874672,1.7536713286713286,0.295,False
