source_id,ra,dec,pmra,pmdec,parallax,parallax_error,radial_velocity,phot_g_mean_mag,bp_rp,in_galah
42739773615778944,52.91161849984913,16.442293602818054,52.453567441028504,-23.101651735186746,4.143902316443622,0.020291548,19.687038,13.621703,1.6243477,True
57152481270117376,54.40284182961328,19.21281721776562,61.884744564322204,-11.357400939610343,4.582606487311355,0.018175919,20.269161,11.539534,0.9186306,True
65289691949453696,56.060497391577094,24.28877042604503,94.43273166168521,-29.560407670056726,9.677552900559537,0.17361462,41.06868,13.511435,2.0044346,True
66580759119646848,58.63966798467419,24.306471673721227,68.72348271844186,-10.922265872030092,2.855524712906473,0.015249309,51.623455,12.498112,0.9645548,True
67621000196952064,53.7302861021949,22.857078211986945,123.27595133317973,-27.87560637403268,4.91281992502167,0.014591379,-37.222443,12.051821,1.011733,True
42369925391741824,54.115872652223516,15.338870453434625,76.54942714158312,-17.35408914146748,4.806026537254963,0.01592678,84.86531,13.235512,1.3658514,True
154186066048114944,74.13784791260115,27.889405080170036,143.76051419709884,-42.14949574371454,5.917941022819397,0.019614177,163.04773,11.370626,1.0241451,True
4892792384180096,41.4846324057526,3.715834121534883,71.52295215729046,-24.36809727054313,6.5257475345675235,0.24411744,13.944478,11.789755,1.1690645,True
4663926462300544,42.67543664042052,3.2440694516467894,67.36079932657681,-13.215553737630001,3.1706645337118418,0.016924277,51.16668,12.307132,0.88499546,True
18552884329187712,39.53393484188672,6.831168665974785,52.52364706708991,-16.332901601551754,4.812596867030157,0.016995236,35.679768,13.705165,1.594491,True
57272568555584768,54.10383771117779,19.85513401407713,56.57543409270244,-12.507958827894699,3.5368736128271214,0.014990959,-26.686192,12.252732,0.93897724,True
63411313771718656,55.34426044670463,20.613110946901685,72.35672304536976,-25.574476870415452,16.7304015564147,0.01824114,24.436846,13.566638,2.4297476,True
67276887419394944,58.438814178855125,25.51838659459402,65.62367999712525,-23.339444481482303,10.542592733496539,0.017076004,36.812157,12.021992,1.5163631,True
18251897316615040,39.72236706816672,5.989382142972275,65.88256910252342,-10.269836629412888,7.943622541632672,0.01976151,40.082764,13.665016,2.0098886,True
66633157720353920,58.84301236406504,24.75365344819011,57.07746142114464,-35.49381504198085,5.137166219432398,0.019845404,22.129333,11.69128,0.9431133,True
