gaiadr3_source_id,ra,dec,gal_l,gal_b,hab_score,s_CO,s_MgSi,s_FeH,s_MgFe,s_SiFe,s_volatile,s_age,C_O,C_O_raw,Mg_Si,fe_h,mg_fe,si_fe,al_fe,ca_fe,ba_fe,age,teff,logg,dist_pc,parallax,rv_comp_1,cct_cluster,cct_distance,dist0,ra_g,dec_g,parallax_g,phot_g_mean_mag,ruwe,non_single_star,dist,has_planet,ruwe_v,G,nss_v,constellation,esp_min_1ms
57517519130999936,51.51408386230469,18.9681396484375,166.26869344371636,-30.601284136373373,0.9617413569895238,1.0,0.99894404,0.934016,0.9999983,0.9999787,0.7971087,1.0,0.30894268,0.36233574,1.0016134,0.11084729,-0.00027881563,-0.0009789243,0.05678153,-0.040118895,-0.11836131,5.9401517,5676.685,3.8853266,259.8079324180297,3.848997183007503,-26.357399,Teutsch_80,1.7471426308448443,259.8079324180297,51.51408173622551,18.96793369715631,3.815748184782768,10.349405,1.1469231,0,262.0718012755683,False,1.1469231,10.349405,0,Taurus,8.23859699371895
4046719972997615360,278.6132202148437,-31.33833312988281,2.9347593965479595,-10.420378811661376,0.9594832103421178,1.0,0.9322823,0.99570245,0.9827449,0.96485823,0.8320011,1.0,0.3470934,0.384444,1.1697941,0.02784276,0.027986705,-0.040122718,0.045308962,0.045463912,-0.10162516,4.609807,5707.126,3.8177102,268.2651979972153,3.7276546024817594,-64.86378,Gulliver_50,1.3523344838112206,268.2651979972153,278.6132247281125,-31.33834438512195,3.695351600750125,10.281236,0.8643617,0,270.610244447919,False,0.8643617,10.281236,0,Sagittarius,7.737232707875868
6704071699950942976,279.197509765625,-49.06855392456055,346.32910628831206,-17.89368540292918,0.9574058066962424,1.0,0.99443305,0.9432665,0.9934768,0.99817276,0.81915265,1.0,0.34219116,0.411003,1.0622658,0.10253373,0.017161213,-0.009071973,0.13324466,-0.002240358,-0.10791013,7.1078176,5647.4272,3.9249077,226.07371472802905,4.4233359955314535,-48.413864,Teutsch_80,1.5465842055812642,226.07371472802902,279.1974348187422,-49.06881569944367,4.395790996036305,10.223475,0.9605132,0,227.49034267136503,False,0.9605132,10.223475,0,Telescopium,7.33637055374932
4760419709395670656,79.13420867919922,-62.44497299194336,271.90801148154634,-34.74407839341605,0.9567095769428388,1.0,0.9976039,0.86983746,0.9986293,0.9972081,0.8628529,1.0,0.30313376,0.3513262,0.99229336,0.1584324,0.0078566,0.011216525,0.08298141,-0.041372497,-0.085789815,6.1572895,5686.553,3.9159448,268.9767971322187,3.717792800947208,32.880814,Teutsch_80,1.86494369330382,268.9767971322186,79.13415397271169,-62.44491118385335,3.7105418009153786,10.41824,0.9165729,0,269.50242138582115,False,0.9165729,10.41824,0,Dorado,8.7778318884795
3620784187898424192,208.05332946777344,-5.585444450378418,329.37033504864246,54.136932899950544,0.9560501357068418,1.0,0.97698784,0.89477736,0.95919776,0.99999255,0.8889695,1.0,0.24697572,0.46459723,1.106313,-0.14146537,0.04329679,-0.0005812198,0.016004443,-0.05568053,-0.07129121,7.3972006,5365.056,3.810172,257.85746397879586,3.8781115138952575,9.578773,UPK_398,2.0326909655285914,257.8574639787959,208.05319238832791,-5.585258758088101,3.844387515080437,10.462351,0.9519351,0,260.11945884156705,False,0.9519351,10.462351,0,Virgo,9.141798806242578
4086022084851927552,282.42333984375,-19.68380546569824,15.090720536817711,-8.46527285129397,0.9526725690414954,1.0,0.9940868,0.8562062,0.9902417,0.9974824,0.98012304,1.0,0.45867258,0.5279412,0.9764361,0.16716444,-0.02100674,-0.01065056,0.14883581,-0.08151533,-9.645894e-05,7.8933544,5646.5605,3.9816904,287.6259485689951,3.4767377734005875,-42.14393,Lynga_6,0.7594234065768397,287.6259485689951,282.42347802703824,-19.68384553307198,3.440888772141976,11.259647,0.7356401,0,290.62258800579986,False,0.7356401,11.259647,0,Sagittarius,19.05241615394867
4116652833916566272,263.4844665527344,-23.34208297729492,3.3581138753404813,5.187687878032701,0.9512733051807424,1.0,0.9898923,0.94557637,0.9770145,0.9943505,0.75496477,1.0,0.35793307,0.41350672,0.96298295,0.10036393,-0.032348458,-0.015967052,0.09831053,-0.017802771,-0.13744473,7.9134994,5672.5474,3.9669137,209.38521775761004,4.775886333855845,3.9565911,IC_2581,1.5757092117289384,209.38521775761004,263.4843499883168,-23.342474711558918,4.7416263328223005,10.943948,0.93250155,0,210.89810326845856,False,0.93250155,10.943948,0,Ophiucus,14.245262584769216
4659898130174908544,85.73016357421875,-66.53825378417969,276.42658225777853,-31.51007288840857,0.9507544904115716,1.0,0.9964228,0.8808619,0.9989096,0.99621123,0.8807533,1.0,0.35364655,0.45874497,0.9861364,0.15110858,0.007006705,0.0130697265,0.15144473,-0.0007272493,-0.075985,7.0392723,5578.5723,3.9186444,225.0854871964976,4.442756449806153,40.226345,Teutsch_80,1.4085024830338655,225.08548719649758,85.73014431310943,-66.53842287195681,4.433245450260698,10.137033,0.7243335,0,225.56838127272982,False,0.7243335,10.137033,0,Dorado,6.774924488697136
5920955881789991040,266.5083312988281,-53.94480514526367,338.3192823876952,-12.777999906573651,0.947031901323334,1.0,0.9981436,0.9190622,0.9980373,0.9971608,0.7655338,1.0,0.33930904,0.4783125,0.99561524,0.12325692,0.0094028115,0.011311278,0.13205835,-0.00018903613,-0.13275045,7.0597415,5514.2363,3.8963115,257.19860793920805,3.888045926890716,10.44677,Teutsch_80,1.3671888690445704,257.19860793920805,266.5083874673634,-53.94477583388439,3.8615639278063623,10.706313,0.88909125,0,258.9624356078108,False,0.88909125,10.706313,0,Ara,11.445017446945522
5815613803039973248,248.97325134277344,-66.36919403076172,322.8711965135396,-12.64132987104078,0.94518195828748,1.0,0.97575986,0.95656264,0.9294724,0.9964844,0.84718806,1.0,0.30027258,0.5868862,1.1086137,0.08940707,0.05736912,0.012588866,0.1618422,0.036674663,-0.093975976,6.702211,5234.141,3.809007,248.34015331564208,4.026735051294717,0.34560102,Teutsch_80,1.843594871148557,248.34015331564208,248.97321002354624,-66.3694093521897,4.00553005071536,10.629718,1.2487669,0,249.65484900591542,False,1.2487669,10.629718,0,Triangulum Australe,10.66543219526842
