host,planets,pl_R_min,match_gaia_id,rms_dex,sep_deg,match_dist_pc,R_gal_kpc,Z_pc,n_matches
K2-188,K2-188 b,1.35,4660559928757353856,0.0052441361531048525,99.60101554821377,259.29465145978014,8.103019486569702,121.22960471626934,137450
K2-188,K2-188 b,1.35,6430524988051980544,0.006012684787786712,179.94893276874282,729.6777067636225,7.576295072357753,373.2852579113483,137450
EPIC 201841433,EPIC 201841433 b,1.04,4075235708300343936,0.0060880533770320995,112.57969897729566,327.3810315210323,7.808792242647626,47.5604233168198,5092
EPIC 201841433,EPIC 201841433 b,1.04,2986982632897888768,0.007320271679630302,99.33666180709,217.91899718715356,8.280926000190282,83.59651994366055,5092
EPIC 201841433,EPIC 201841433 b,1.04,3178603698320266368,0.010389809725138645,108.72186139410077,243.30272205965812,8.29522202024874,124.7459350979347,5092
K2-85,K2-85 b,1.4,5927841504668934400,0.020967653116594036,196.30713960053563,,,,6269
K2-85,K2-85 b,1.4,6656388144097553280,0.02237645530803236,226.65186166897834,1899.723846912796,6.471174674009786,735.6022444545858,6269
K2-85,K2-85 b,1.4,6093442554362292608,0.023988152097465253,156.5552713726814,,,,6269
K2-291,K2-291 b,1.589,4726475208462275328,0.0028445793939397383,86.72684635885994,709.9626599200217,8.067315907790642,550.0932516080479,110957
K2-291,K2-291 b,1.589,4750847636038719360,0.004008116314556817,73.48300128645938,932.4717221916086,8.246090491381569,751.5687410400385,110957
K2-291,K2-291 b,1.589,6081564122232898176,0.004449327548614794,134.06666538808128,599.7053814293207,7.790280225823629,143.9621903085854,110957
K2-158,K2-158 c,1.28,3631208417123397632,0.007507406925862982,22.075852017008753,236.43921685522196,8.018516127364698,212.79139434567986,35023
K2-158,K2-158 c,1.28,4901287867832204544,0.008802759144568689,184.74084818437922,374.64885495575453,7.981067414146899,280.56495755528664,35023
K2-158,K2-158 c,1.28,651969408401143040,0.008945556445329562,58.05572708380572,1987.2930657622064,9.710660591112992,885.9513725463001,35023
EPIC 220674823,EPIC 220674823 b,1.676,5793691190443966592,0.004419019186878334,221.54256515143345,425.1652976065814,7.857549899753217,73.68109308820851,38232
EPIC 220674823,EPIC 220674823 b,1.676,4241961150405040512,0.005293036378039607,280.06878593599225,1368.9517683438407,7.201967992627247,264.784451179013,38232
EPIC 220674823,EPIC 220674823 b,1.676,5363545852057084672,0.006079687487706756,157.79566962822582,519.2010158112923,8.02808083854436,121.34674968552312,38232
