cluster,N,C_O_mean,C_O_std,intrinsic_scatter,feh_mean,feh_std,rv_mean,rv_std,age_gyr,age_bin,R_gal,Z_gal,abs_Z
NGC_3324,27,0.3832,0.101,0.0691,-0.034,0.161,5.66,25.98,0.0107151982289039,<0.1,8.029824069811976,0.019530610103880564,0.019530610103880564
NGC_6231,11,0.4832,0.1012,0.0,0.026,0.207,-16.63,29.94,0.0138038384023379,<0.1,7.559246825825821,0.03159070984354871,0.03159070984354871
UPK_552,20,0.3697,0.1012,0.0,-0.104,0.182,26.31,30.65,0.1174896729347291,0.1-0.3,8.151975964602471,0.5198139712513833,0.5198139712513833
Platais_9,22,0.325,0.1013,0.0668,-0.12,0.199,27.91,20.8,0.0501187013514281,<0.1,9.98731012699731,0.374686767636727,0.374686767636727
NGC_4337,20,0.3971,0.1015,0.0,-0.006,0.188,-10.81,28.58,1.4454392628956645,1-2,7.95371213850184,0.04870252241715921,0.04870252241715921
NGC_2262,10,0.3015,0.1015,0.0684,-0.179,0.163,44.79,27.89,0.645654852868111,0.5-1,8.314655952226724,0.013099025449854312,0.013099025449854312
FSR_1253,25,0.389,0.1017,0.0648,-0.165,0.16,46.87,30.71,0.2951211041237279,0.1-0.3,8.25735553684215,0.017545664274220368,0.017545664274220368
Ruprecht_45,13,0.3628,0.1017,0.0,-0.223,0.144,55.48,36.8,3.1622776601683795,2-5,8.231852802379107,0.044565083523569485,0.044565083523569485
Gulliver_9,9,0.3268,0.1018,0.032,-0.179,0.25,29.12,15.56,0.0177827941003892,<0.1,8.523876319391324,-0.1665754838683184,0.1665754838683184
Ruprecht_60,13,0.3588,0.1023,0.0,-0.085,0.172,32.38,26.03,0.9772367059324804,0.5-1,8.143147300873164,0.0029958460469090113,0.0029958460469090113
NGC_6444,4,0.3818,0.1023,0.0419,0.025,0.281,3.93,24.7,0.1778279410038923,0.1-0.3,7.600993273878174,-0.014946940181641121,0.014946940181641121
BH_90,5,0.3852,0.1024,0.0726,-0.049,0.255,12.71,25.36,0.1258926517592568,0.1-0.3,8.04617152113031,0.01124090853544409,0.01124090853544409
Ruprecht_145,16,0.3236,0.1027,0.0693,-0.07,0.174,-25.97,33.84,0.8128302305789092,0.5-1,6.5711357103367645,-0.2137775315946425,0.2137775315946425
UBC_620,9,0.473,0.1027,0.0,-0.082,0.157,41.2,26.98,0.0501187013514281,<0.1,8.706201769302584,-0.01502826822533292,0.01502826822533292
UBC_280,17,0.4545,0.1028,0.0673,0.041,0.193,2.01,19.45,0.0512861429039393,<0.1,7.954738747612781,0.01641979013449123,0.01641979013449123
NGC_6705,18,0.5446,0.1028,0.0,0.046,0.16,2.16,34.14,0.3090293803866819,0.3-0.5,7.745513403016754,-0.0008246145727128645,0.0008246145727128645
LP_866,14,0.4851,0.1028,0.0,0.065,0.137,-14.9,36.49,1.9054595463785964,1-2,7.738742394386034,0.0033990047753505483,0.0033990047753505483
FSR_0985,9,0.2408,0.1029,0.0458,-0.177,0.176,35.62,44.91,0.2570394879669198,0.1-0.3,8.549834213339098,-0.022571603721536587,0.022571603721536587
NGC_2849,10,0.3308,0.1029,0.062,-0.151,0.269,41.39,28.11,1.047129651766654,1-2,8.134776268697832,0.03656452462795769,0.03656452462795769
UBC_531,4,0.4691,0.103,0.0502,0.025,0.192,-30.4,39.72,0.0812830230578909,<0.1,7.895601214619899,0.011320359413336745,0.011320359413336745
UBC_526,15,0.4496,0.1031,0.0,0.093,0.167,-22.33,29.86,0.018197018176288,<0.1,7.864366169317227,0.021562212692248995,0.021562212692248995
UBC_506,17,0.4999,0.1032,0.0,-0.041,0.207,9.34,16.84,0.2691536695250797,0.1-0.3,8.035495675399138,0.004050774925316875,0.004050774925316875
Teutsch_31,12,0.4836,0.1032,0.0,-0.017,0.125,17.05,25.87,1.6595879278457617,1-2,8.077439073105074,0.02071872574778139,0.02071872574778139
