ra,dec,C_O,sigma_CO,fe_h,c_fe,o_fe,mg_fe,si_fe,al_fe,rv_gaia_dr3,age,cluster_name,ra_cl,dec_cl,pmra_cl,pmdec_cl,dist_cl,sep_deg
82.18104,3.4054723,0.4075929273801117,0.07174212299241235,-0.009826869,-0.17197399,-0.042628285,0.009765133,0.011171665,-0.013225198,55.677452,1.1116948,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.1215
82.061,3.6010277,0.21656995906764856,0.044138947454181114,-0.8424877,0.24249111,0.64646524,0.34001708,0.33045885,0.40884256,37.402485,10.521753,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.1391
81.93308,3.6799722,0.3795421849813961,0.06826990930126024,-0.0074366704,-0.049763616,0.110548675,-0.0060741603,0.019745182,0.049393177,95.12068,6.4997897,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.2892
82.082,3.6071944,0.4288468816371999,0.04661398901473135,0.018315278,-0.034090083,0.073180005,0.037647568,0.056023624,0.0808987,56.447342,5.273182,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.1257
82.08879,3.7691667,0.20468326097375183,0.04691630352042535,-0.48146278,-0.056566477,0.37192354,0.069577955,0.21094035,-0.1097929,-8.774899,9.18962,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.2584
82.14521,3.766611,0.51615843562576,0.16100574722864294,0.1393008,-0.010850718,0.015938597,-0.073833846,-0.008409326,0.15062135,31.493355,5.587805,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.242
82.51271,3.375139,0.4282590314360274,0.054560154353591656,0.033968136,-0.04506043,0.062805384,0.007838666,0.01637508,-0.092920385,3.7831492,3.8928955,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.3661
82.412125,3.7547777,0.41603685859316436,0.047903702665729346,-0.016548857,-0.13100965,-0.010569114,0.035276517,-0.028680304,-0.0028241575,-7.0972238,0.6586811,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.3256
82.381,3.850139,0.45706394464730454,0.057238690392830055,-0.12655333,-0.078461036,0.001134345,0.028567977,0.06480028,0.027280524,43.041286,0.65461725,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.3809
82.5075,3.6871388,0.3466248713921137,0.06739388329907338,-0.04491809,0.028938647,0.22865127,0.071549974,0.1006892,0.17397004,4.113853,7.916502,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.3649
82.53442,3.751,0.40549571985914107,0.0771313054689747,-0.2506881,0.14960903,0.2811951,0.118690334,0.15649253,0.17601493,9.480115,9.654135,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.4195
82.666626,3.4815834,0.36953359703306893,0.0492870356205488,-0.5008226,0.074315645,0.24623406,0.13236624,0.20803112,0.24682897,-9.457257,6.9465113,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.4888
82.34304,3.9054723,0.31753488482790754,0.07463144385209106,-0.2418108,0.1337582,0.3715391,0.22991261,0.16637206,0.3694992,41.11802,11.647075,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.4124
81.921875,3.621725,0.34188917043486106,0.056101093965037055,-0.48257703,0.2155054,0.4211924,0.23721752,0.19427873,0.3933369,57.182827,9.872027,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.2735
103.78137,-2.1179166,0.3420490703896395,0.0768371331164451,-0.3562926,-0.08821437,0.11726956,0.09660285,0.06983034,0.070480764,11.288214,7.1920023,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.4948
103.5585,-2.1069722,0.31789706658224465,0.06934557629824434,-0.4522363,-0.050070364,0.18721546,0.07882082,0.09833744,0.15972263,50.24584,6.111611,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.4372
103.25579,-2.0005834,0.41185785133703934,0.0961600870062608,0.05373757,0.001965845,0.12679084,0.039327666,0.057789873,0.20503455,35.510685,6.1046386,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.4567
103.17054,-1.8404722,0.42659567732601184,0.07899754365725564,-0.1411317,-0.011227714,0.09832818,-0.04789813,0.019767113,-0.053088546,36.176464,4.372417,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.4351
103.16179,-1.7619166,0.5725237595292894,0.07947071580001401,0.27606305,-0.06297492,-0.08119609,-0.052660257,0.0316812,0.11803582,-1.8679599,7.2881665,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.4192
103.113205,-1.734361,0.30202632582185385,0.05542760779872506,-0.4303445,-0.004919645,0.2546079,0.02093412,0.37947226,-0.10545647,13.818947,8.813632,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.4621
103.33212,-1.7898611,0.4208703949118931,0.14489192148755164,-0.2120964,0.017481633,0.1329056,0.0147884935,0.10473558,-0.19121833,9.24283,6.8179803,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.2672
103.482,-1.7980833,0.43980488459864103,0.08362716465723347,-0.08607619,-0.063194074,0.033118222,-0.017757863,0.025998842,0.08903724,52.671295,3.4197862,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.1559
