cluster,n_match,B_X,med_d_true,match_idx,med_d_null,ratio
FSR_1591,16577,0.10033388783333334,0.11358880983333335,[     8     10     16 ... 533348 533355 533375],0.12896524123536823,0.8807707312858656
FSR_1595,17610,0.1324731476675,0.1454508935,[    40    166    197 ... 533393 533399 533422],0.14309722236931893,1.016448056025899
Ferrero_11,21513,0.08710504709090909,0.10734592290909091,[    10     18     26 ... 533350 533371 533382],0.12409188352002819,0.8650519265570297
Gulliver_1,19521,0.0737156601,0.1073336299,[   167    171    186 ... 533353 533371 533431],0.12753472387370282,0.841603185704092
Gulliver_35,26824,0.10974926614285715,0.12119928114285716,[    40    165    166 ... 533290 533422 533424],0.12946826772263853,0.9361311715586084
Gulliver_46,15270,0.1445384305488889,0.14540406322388888,[     8     10     16 ... 533343 533375 533385],0.14117788015759994,1.02993516450007
Gulliver_52,22350,0.06821231950000001,0.107315156,[    40    166    171 ... 533290 533355 533424],0.13477897838118608,0.7962306680830297
Gulliver_7,17598,0.28435746142857143,0.21715292642857142,[    18     29    167 ... 533353 533371 533375],0.12597614376422256,1.723762292922664
Haffner_26,23437,0.172660798,0.129116081,[    29    167    186 ... 533371 533403 533431],0.12673332926999756,1.0188013030489094
IC_2391,24147,0.07865011533333334,0.10965448466666665,[     4      8     16 ... 533427 533428 533431],0.13782386437691585,0.7956131919707855
IC_2581,23215,0.07243665195454546,0.11415640195454546,[    40    166    196 ... 533290 533393 533422],0.14124637615525282,0.8082076514944988
IC_2602,20961,0.16187723515833333,0.13202003915833332,[    10     18    171 ... 533348 533371 533375],0.12946485941691013,1.019736473301955
IC_2714,10502,0.10675078409090909,0.11427225884090908,[   167    186    191 ... 533347 533348 533371],0.12752788962672734,0.8960570050628349
IC_4756,10134,0.02960027113333333,0.0929856025,[     4     10     16 ... 533348 533355 533375],0.13357764879446823,0.6961164786114333
LP_198,16662,0.24539573955,0.17597555655,[    18     29    154 ... 533353 533371 533398],0.1279199372590609,1.3756695032895288
LP_2117,21156,0.20467621155555554,0.19175237480555554,[     8     10     16 ... 533374 533375 533431],0.13825457909909747,1.3869513476881816
LP_2210,4902,0.057708430166666665,0.096796698,[    10     26    145 ... 533341 533348 533350],0.12934722075199626,0.748347722024836
LP_2220,13214,0.2296504922222222,0.1537176172222222,[    29    154    186 ... 533348 533353 533371],0.1288748013882793,1.1927670542753772
LP_866,14897,0.02663333242857143,0.09182355842857143,[    56    132    152 ... 533374 533399 533420],0.16140997183668468,0.5688840496266173
LP_930,6280,0.106220611,0.11401781875,[   167    186    194 ... 533327 533348 533371],0.12804841901809477,0.8904273838311734
Melotte_101,23978,0.08816622303333332,0.11157978500000001,[     8     10     16 ... 533355 533375 533431],0.12736301373640857,0.8760768273819773
NGC_2112,20524,0.13168863128965516,0.11708160371034484,[    10     18    154 ... 533353 533371 533375],0.1278767112432601,0.9155819114523542
NGC_2254,26007,0.0440063265,0.1014435235,[    16     18    167 ... 533375 533403 533431],0.12564460308741,0.80738464691099
