cluster,template_N,age_gyr,R_gal,observed,mc_median,mc_std,enrichment,p_value,significant,centroid_C/O,sigma_C/O,centroid_[Mg/Fe],sigma_[Mg/Fe],centroid_[Si/Fe],sigma_[Si/Fe],centroid_[Fe/H],sigma_[Fe/H]
Trumpler_17,13,0.0199526319125486,8.009709656980238,123166,39037.0,38388.3,3.155,0.02,False,0.4418,0.0889,-0.0049,0.0523,0.033,0.0462,-0.0597,0.137
Trumpler_19,12,4.897783461428336,8.000658983997804,100277,45877.0,47084.0,2.186,0.26,False,0.4474,0.1126,-0.004,0.0631,0.0581,0.0765,-0.0575,0.1851
Trumpler_20,11,1.862089099377868,7.993868649110267,36080,17922.5,21349.3,2.013,0.3,False,0.4993,0.0654,0.0077,0.0675,-0.0109,0.0655,0.0579,0.0558
Trumpler_25,21,0.2290865841769215,7.727728197737216,153668,131277.5,81273.0,1.171,0.425,False,0.5442,0.1137,-0.0063,0.0827,0.1015,0.0744,0.0941,0.1692
Trumpler_35,6,0.0389045281683994,7.842330215732276,50656,32722.0,36999.0,1.548,0.41,False,0.476,0.1048,0.0855,0.1105,0.113,0.0971,-0.0846,0.1553
UBC_102,6,0.3311314705081584,7.663341213760286,9406,10102.0,12362.1,0.931,0.535,False,0.5107,0.0838,-0.053,0.0333,0.0595,0.0441,0.0494,0.1159
UBC_199,13,1.148154730847072,8.902567426061198,184594,52661.0,53313.3,3.505,0.004975124378109453,True,0.3952,0.1059,0.0397,0.0861,0.0467,0.0651,-0.1028,0.172
UBC_210,11,1.288248533293805,8.464828023078825,111472,60268.5,48594.8,1.85,0.255,False,0.4387,0.084,0.0849,0.1418,0.0782,0.0666,-0.0753,0.2481
UBC_216,19,0.0616594947701844,8.792719713893781,102806,47983.0,46676.3,2.143,0.245,False,0.4257,0.1618,0.0253,0.0515,0.0809,0.0723,-0.1502,0.234
UBC_228,26,0.8128302305789092,8.280328143143953,197654,115484.5,77559.4,1.712,0.155,False,0.4524,0.1041,0.0029,0.0935,0.0735,0.0892,-0.1318,0.178
UBC_229,5,0.1122018947073786,8.312676109065062,39332,22211.0,23907.0,1.771,0.335,False,0.4218,0.0852,-0.0512,0.074,0.0203,0.0846,-0.0559,0.1025
UBC_239,26,0.2754226042194985,8.300739302279432,168186,86380.0,59228.8,1.947,0.105,False,0.4295,0.1497,0.0156,0.071,0.0715,0.0836,-0.133,0.211
UBC_250,31,0.3311314705081584,8.127853924323158,187779,106056.0,61135.6,1.771,0.08,False,0.4658,0.1431,0.0345,0.0464,0.0751,0.0745,-0.1269,0.1947
UBC_254,13,0.1096478099832217,8.077131635219606,99029,37276.5,32454.9,2.657,0.06,False,0.456,0.0921,0.0205,0.0912,0.0449,0.0491,-0.0096,0.2019
UBC_258,37,0.0407380403044348,8.025684461481676,253353,134792.0,84471.8,1.88,0.06,False,0.4523,0.1051,0.018,0.0999,0.0567,0.0714,-0.0403,0.1705
UBC_259,18,0.102329353157667,8.025069708913405,87412,42999.0,40369.1,2.033,0.235,False,0.4428,0.1009,0.0149,0.0607,0.0751,0.0385,-0.0766,0.1501
UBC_260,26,0.2344228197592381,7.808670297726898,190228,127841.5,77217.6,1.488,0.28,False,0.4566,0.1009,0.0673,0.1063,0.1219,0.1186,-0.1689,0.2755
UBC_264,13,0.2951211041237279,8.020588330855402,70095,26045.0,30861.5,2.691,0.17,False,0.4655,0.0803,-0.0204,0.0493,0.0471,0.0517,-0.0139,0.0993
UBC_266,19,0.0128824994773753,8.00759767068031,117427,66223.0,54518.1,1.773,0.245,False,0.4437,0.085,-0.0294,0.0738,0.0265,0.0872,-0.0218,0.1074
UBC_270,14,0.1621810239813303,7.987703312303738,168773,78217.0,57894.3,2.158,0.065,False,0.4299,0.1099,-0.0076,0.0894,0.0621,0.0458,-0.0328,0.1271
UBC_277,14,0.102329353157667,7.9256856958348765,128048,40527.0,38762.1,3.16,0.02,False,0.3882,0.0743,0.066,0.0811,0.0808,0.099,-0.1716,0.2317
UBC_285,19,0.0616594947701844,7.857923160902611,131542,59943.5,56846.3,2.194,0.205,False,0.4333,0.1386,0.0178,0.0896,0.0786,0.0888,-0.0816,0.2082
UBC_286,5,0.0575440240605537,7.910796740978509,38261,16664.0,20830.1,2.296,0.26,False,0.5049,0.0984,0.0444,0.052,0.08,0.0415,0.0224,0.0669
UBC_289,6,0.1380385355838289,7.881171061266562,29313,8404.0,9722.0,3.488,0.06,False,0.3689,0.0863,-0.019,0.0683,0.031,0.0228,-0.0354,0.1155
UBC_291,6,0.0251188698309886,7.946696797476468,47898,22715.0,24005.9,2.109,0.255,False,0.5123,0.0612,-0.0026,0.0859,0.0586,0.0417,0.1023,0.1118
