cluster,alpha_raw,alpha_int,sproc_raw,sproc_int
Loden_46,0.08351348337881592,0.08047534268064252,0.20293303676015584,0.19572553432563153
Lynga_1,0.06892287300070378,0.06475151357803821,0.21344687743695512,0.2061910955810776
Lynga_14,0.05417906082261324,0.04667881196238134,0.20035595709331575,0.1894548034623524
Lynga_2,0.0553475753846521,0.05251680988883046,0.2616474757570295,0.25883789135590307
Lynga_3,0.048065632829161486,0.0441146448494512,0.16830254226841074,0.1602088151847967
Lynga_6,0.11793600520033956,0.11198388116510197,0.2928955728350362,0.2811294027686381
Lynga_9,0.03821136676068129,0.030778152708952837,0.14448659695941607,0.13276032494550222
Mamajek_4,0.09948181800385977,0.09601982992426025,0.12731578531932083,0.10260911306144199
Mayer_3,0.06539373969930318,0.06215613796012133,0.17441997557942998,0.1686074086476996
Melotte_101,0.050152487807401794,0.04563955480578094,0.17655779990216883,0.16760623655004936
Melotte_105,0.05538576673191575,0.04700153234387794,0.250203554605982,0.24178996241688197
Melotte_22,0.07445503677721907,0.0701517552523282,0.2807142238122854,0.27482878635357116
Muzzio_1,0.048584126380402576,0.04584408714744806,0.16462635849476515,0.15971830040025997
NGC_1817,0.08064723081699199,0.07702578622489174,0.21125987646705072,0.20339622431244464
NGC_1901,0.09186296867340353,0.08903498114210578,0.13826862563315764,0.1246119895982129
NGC_2112,0.097346807863366,0.09522803692927953,0.1977035024398262,0.1912399803351444
NGC_2184,0.10340536203135253,0.10111571625553939,0.14882118284453513,0.13922696941070362
NGC_2186,0.04073091975352246,0.03370756517468382,0.24844040930950745,0.24259827007715706
NGC_2204,0.07581218137712137,0.07310648369653033,0.20454782097328345,0.1985673916131251
NGC_2215,0.08868100392344008,0.08286811861652707,0.2872110573109916,0.277269682658032
NGC_2225,0.05849083086998972,0.052975350784253195,0.16425794141214603,0.15265988796229263
NGC_2232,0.07576522676410377,0.0730447984985315,0.20256569000018781,0.1964907887333798
NGC_2243,0.060106896841700334,0.05136981388432639,0.14568635267770383,0.12378801327079123
NGC_2251,0.10303540305187264,0.09988769722123769,0.20711926164691977,0.19920360178921526
NGC_2254,0.038067492058596275,0.029701863352348687,0.2245131820479558,0.21594813661620257
NGC_2262,0.06998366266587489,0.06651920299769001,0.15585151501314523,0.14939088341951573
NGC_2287,0.10370125664055105,0.0990513051468116,0.18785373542566242,0.1722553075019549
NGC_2318,0.060155303509975486,0.051965391726622644,0.21855297636957796,0.20461913513838778
NGC_2354,0.06254485916267548,0.05390212193863432,0.17860420351001433,0.16513269399741506
NGC_2360,0.09971292187174083,0.09657862914088138,0.17722790784529066,0.16942556098809122
NGC_2506,0.09631389531455686,0.09275310453935828,0.1798838459927799,0.1705511797182164
NGC_2516,0.07345593061129471,0.06954559046235748,0.19609040646751788,0.18631301764668995
NGC_2527,0.06428952716115699,0.044701418987093615,0.2326776626622577,0.22298563194699458
NGC_2533,0.1070365298386666,0.10453056006652864,0.21413152011263742,0.20756154595992432
NGC_2539,0.055077959830759936,0.047806516917406575,0.2043647134557442,0.19322607472057962
NGC_2547,0.05324673674689849,0.04737316305735274,0.253547131991965,0.24558999545312488
NGC_2548,0.07776747092271383,0.07545081612770363,0.17561951755744276,0.16882408155558476
NGC_2567,0.08434022720029583,0.08119488025764257,0.2703766528925395,0.26459126002670846
NGC_2571,0.08484074669664575,0.08171855767328176,0.22265030351318155,0.2171413958959943
NGC_2580,0.08561795630082254,0.08267620729427454,0.1905925123868287,0.18466478188410254
NGC_2587,0.0606180548297955,0.05572929446104032,0.1314922391169214,0.11819473046368102
NGC_2588,0.044515807437694524,0.035218588206077636,0.1942975254975756,0.1852341782360658
NGC_2632,0.07733416340913556,0.07368953528554067,0.17512965799093277,0.16268341702612008
NGC_2660,0.07199918890283934,0.06645488483210654,0.08525232910092759,0.06329660466924002
NGC_2670,0.07943602014295058,0.07542402584624716,0.2381792928650973,0.22943753053859525
NGC_2671,0.10759669138793673,0.10523886675636451,0.2287419453749872,0.22177900172800424
NGC_2682,0.046622050816778116,0.04277089722989175,0.12042681690796858,0.10967178782865818
NGC_2849,0.08567066613291309,0.08312551567067267,0.22526839119196504,0.21885286107772814
NGC_2910,0.06654904902062296,0.060609561314256516,0.15986736900487472,0.14689777792039452
NGC_2925,0.08422092541891102,0.08003120999929395,0.17870176989455655,0.16788948795877312
NGC_2972,0.079917464548976,0.0764238171216313,0.2570452572277181,0.25059678920827205
NGC_3033,0.09618380607356128,0.09083686692991758,0.2630374965721288,0.24998021420403702
NGC_3105,0.047096611848140846,0.04292450262524536,0.2533072164430356,0.2487533822791105
NGC_3114,0.0856118083812529,0.0827485337531864,0.20051995720781587,0.1925398079050219
NGC_3228,0.055937208045141684,0.05157521627639749,0.1766446928982109,0.1701833054060568
NGC_3255,0.07058382416373682,0.06348706950544344,0.20956595452032406,0.19482949314522663
NGC_3293,0.08673990656996933,0.08481893627062592,0.18482985048556738,0.17905842548422976
NGC_3324,0.0588385847751177,0.05645945750942606,0.19610592646496805,0.19152003339758958
NGC_3330,0.08171062351118229,0.07862283796554499,0.14033728570481555,0.130531691884163
NGC_3496,0.10000688677065217,0.09651985290839424,0.1584511280275572,0.1453270681623005
NGC_3572,0.0972200025511115,0.0950774153005525,0.16935709327518447,0.16225600990637437
NGC_3590,0.08996315350904877,0.08784475268918866,0.1816527019838042,0.17546065662806043
NGC_3603,0.08281777626062564,0.07953473030060682,0.1769297701373623,0.16798865394964987
NGC_3680,0.13041169574531844,0.12824416404141292,0.17726434878177935,0.16905907061020492
NGC_3766,0.03797089660614114,0.01823296139404776,0.16787447408404416,0.14818966895496388
NGC_3960,0.12032646655877957,0.1178066393374703,0.21735420932935204,0.21042200283538254
NGC_4052,0.050751261268197706,0.04349554140670632,0.19638104861367625,0.18578794076707128
NGC_4337,0.05876648866807188,0.05287948306538742,0.10677866361953584,0.08990564353721821
NGC_4349,0.040393095608134436,0.02733854656340317,0.16469938626919936,0.14894279446096562
NGC_4463,0.07089487548672979,0.0641909677278886,0.35067171235371647,0.3405622100977157
NGC_4755,0.07107073624335564,0.06462292915921672,0.1830253546805879,0.16731730105622097
NGC_4852,0.08300851579049218,0.07905984200962014,0.1336811976766977,0.12257692385735423
NGC_5168,0.08299596108086656,0.07952394471943508,0.2227063968358903,0.21568826394426668
NGC_5288,0.08225433832569157,0.07749742494248305,0.0955587604840092,0.06285142973435456
NGC_5316,0.05973185178799108,0.055981883611067214,0.285323842660817,0.28119121804658725
NGC_5381,0.03529667090023089,0.019512987118533134,0.08211703476920248,0.052170584948208865
NGC_5460,0.03668840881950973,0.028992631198103774,0.12729904767497846,0.11214492684887513
NGC_5593,0.08136585835671839,0.07803293718643615,0.19069342928118468,0.18461642998718186
NGC_5617,0.05776384450540678,0.053571120023569174,0.1391471379394925,0.1291955223379465
NGC_5662,0.06639324280582401,0.06371652787748594,0.16021532744863792,0.15387748356660255
NGC_5715,0.06545736639946517,0.06174318296392443,0.1641741291802776,0.15595224944831487
NGC_5749,0.07612007518878681,0.07176599382683108,0.1422705620888593,0.1273087089166714
NGC_5764,0.0958035630749968,0.09324216610416554,0.12447499311284597,0.11298054843824057
NGC_5822,0.06738979965140482,0.06364652555742172,0.06304160612619149,0.026621375391105696
NGC_6025,0.12150432741182515,0.1188449860524702,0.3017897616924439,0.2949526975738053
NGC_6087,0.08715621879310187,0.08385911465755479,0.2075126863220174,0.19676607820804737
NGC_6124,0.08957437144277014,0.08627884038869611,0.12164243710883331,0.10561335350187145
NGC_6152,0.06161816425254636,0.05657886421575535,0.15518807259174447,0.14195869653769386
NGC_6167,0.07565657467847188,0.07262747127937932,0.11340135216755286,0.10070677413526768
NGC_6178,0.05902576926867857,0.0544550353206323,0.10036841955558075,0.08208459179733557
NGC_6204,0.07236247336713916,0.06699820803940804,0.07751610764077159,0.04229850643030356
NGC_6208,0.08621107214189623,0.08185871445744389,0.17612024780003602,0.1660052782069394
NGC_6231,0.07002919432369739,0.06608556383890689,0.1261550857185671,0.11588778003648056
NGC_6250,0.04901109311955458,0.04458186919201199,0.1870438034840417,0.18005511367226645
NGC_6253,0.09068382474924658,0.08896634951907971,0.15996025054283727,0.15294178305856965
NGC_6281,0.04902809382108016,0.04527481504784332,0.13846174233312564,0.1318448169759375
NGC_6318,0.10682196896133855,0.10419893866365539,0.12325948979069383,0.10982722809852742
NGC_6469,0.07979878810372978,0.07753142143167943,0.20407673576879082,0.19825993846791662
NGC_6583,0.06987834549872382,0.06684834890868127,0.18973466952618012,0.18310094500891608
NGC_6631,0.07201156465498856,0.06711395623524316,0.3161689056563642,0.30920578849474034
NGC_6645,0.027920503981781024,0.0155944212342283,0.1142284754038657,0.09882718349010114
NGC_6694,0.06255596470438092,0.05864744653785728,0.21626026479047325,0.20937339238349217
NGC_6704,0.07757091750303065,0.07399410625184336,0.10400797313283508,0.08749601223001852
NGC_6705,0.06382711067149274,0.059410073940607204,0.128237734025677,0.11725798739274533
NGC_6728,0.07094777219907267,0.06033491991568329,0.14230710198362587,0.1267824526075781
NGC_6755,0.0815151686008729,0.0775212311104437,0.16952035056666465,0.15954614602502695
NGC_6756,0.060002304766075897,0.054660033492516136,0.07395042990863125,0.05011410185715073
Patchick_90,0.06954880285365064,0.06476987050227931,0.2251505227620258,0.2167783165974984
Pismis_15,0.09485007866540507,0.09254049844768741,0.22221790416134787,0.2178108980588734
Pismis_17,0.059908151167292964,0.051851175111117184,0.15486801257859242,0.139689381416043
