i,j,d_chem,d_act,d_age,d_total,name_i,name_j,hab_i,hab_j
2,7,1.8660358577840965,0.7671594234978986,1.7408394167962493,4.374034698078244,TYC 7413-1369-1,TYC 7915-779-1,0.9948926865069556,0.9934194074914954
3,9,3.6952905643133236,0.5164207451522336,0.18775690953097537,4.399468218996533,TYC 1071-934-1,TYC 9263-701-1,0.9944493696993356,0.992456910945104
3,14,2.341236080003686,1.6309088054658207,0.4307343867994273,4.402879272268934,TYC 1071-934-1,HD 271200,0.9944493696993356,0.9913680789520726
10,17,2.549929756962713,0.9201117221213647,0.9549668365032106,4.425008315587289,HD 217340,HD 183193,0.9923914331934592,0.9910268582282452
15,20,1.5585657115029337,1.2199575512075373,1.6494066721599512,4.427929934870422,BD-08  6091,TYC 8351-2149-1,0.9911042011418684,0.9902110765948476
2,26,2.2296193114370757,1.815148121637328,0.38777863588109673,4.4325460689555,TYC 7413-1369-1,TYC 5606-566-1,0.9948926865069556,0.9889979972384932
6,22,2.662758741388577,1.3215692767523504,0.45201843971070654,4.436346457851634,HD 271308,HD  13684A,0.9935994695920594,0.9899241898742775
0,27,2.4990012927924723,1.8296672979610198,0.12017239743426844,4.448840988187761,BD-03  3321,TYC  105-2108-1,0.9969227583789892,0.9886490741227948
3,16,1.8426899906324494,1.0346569991386212,1.5946275846375766,4.471974574408647,TYC 1071-934-1,HD 122625,0.9944493696993356,0.9910369520989836
7,26,1.306429394773236,1.8144222407009802,1.3530607809151527,4.4739124163893695,TYC 7915-779-1,TYC 5606-566-1,0.9934194074914954,0.9889979972384932
6,20,2.4350600730180516,1.2730925018675678,0.7833926993695457,4.491545274255165,HD 271308,TYC 8351-2149-1,0.9935994695920594,0.9902110765948476
14,23,3.061814440352692,1.3510178158745503,0.07896467606423285,4.491796932291475,HD 271200,HD  13767,0.9913680789520726,0.9898647127489534
10,30,2.7563422580406507,0.7945358021007299,0.946749727570791,4.4976277877121715,HD 217340,TYC 6883-1588-1,0.9923914331934592,0.988093216107945
8,30,3.213469866729037,0.8150702191534569,0.4711668985694145,4.499706984451908,CD-60  1593,TYC 6883-1588-1,0.9934140821873566,0.988093216107945
26,29,1.883546021201031,2.15332278710613,0.47720465226693237,4.514073460574093,TYC 5606-566-1,HD 180950,0.9889979972384932,0.9881504576735348
2,23,1.6670535503742403,2.6161188040109025,0.24105238820343955,4.524224742588583,TYC 7413-1369-1,HD  13767,0.9948926865069556,0.9898647127489534
7,14,2.2520010882361903,0.8570775927014529,1.420822352528577,4.529901033466221,TYC 7915-779-1,HD 271200,0.9934194074914954,0.9913680789520726
2,22,1.8668151498767234,1.857407851706833,0.8117332630793108,4.535956264662867,TYC 7413-1369-1,HD  13684A,0.9948926865069556,0.9899241898742775
0,10,2.3075495194089117,1.8365363271630366,0.3964145788182417,4.5405004253901895,BD-03  3321,HD 217340,0.9969227583789892,0.9923914331934592
5,29,2.3589627392392396,2.060383280113809,0.15748746895588497,4.576833488308933,TYC 6897-1616-1,HD 180950,0.9939321090920874,0.9881504576735348
14,16,1.7708798328689788,0.7836720193387356,2.025361971437004,4.579913823644718,HD 271200,HD 122625,0.9913680789520726,0.9910369520989836
25,29,2.8876876087939514,1.4685496303118335,0.24001557860736658,4.596252817713152,TYC 9271-1853-1,HD 180950,0.9893123538849355,0.9881504576735348
3,10,3.738465243418277,0.4973661495420818,0.3635642761751658,4.599395669135524,TYC 1071-934-1,HD 217340,0.9944493696993356,0.9923914331934592
10,15,2.7284264874766992,1.2823928557530364,0.6080165778204644,4.6188359210502,HD 217340,BD-08  6091,0.9923914331934592,0.9911042011418684
22,26,2.762673928147097,0.6587067933519347,1.1995118989604077,4.62089262045944,HD  13684A,TYC 5606-566-1,0.9899241898742775,0.9889979972384932
6,21,3.504487486313111,0.5582430985392162,0.569052846065124,4.631783430917451,HD 271308,TYC 5232-208-1,0.9935994695920594,0.9901450005093488
16,25,2.0692190674193736,1.329236569842136,1.2403801689492806,4.63883580621079,HD 122625,TYC 9271-1853-1,0.9910369520989836,0.9893123538849355
3,11,3.3799028963840327,1.1476325126765858,0.1442133242408026,4.671748733301421,TYC 1071-934-1,CPD-63   349,0.9944493696993356,0.9921674773952948
