cluster,mg_fe_std,mg_fe_mean,mg_fe_n,si_fe_std,si_fe_mean,si_fe_n,ba_fe_std,ba_fe_mean,ba_fe_n,ce_fe_std,ce_fe_mean,ce_fe_n,eu_fe_std,eu_fe_mean,eu_fe_n,alpha_scatter,sproc_scatter,alpha_sproc_ratio,age_gyr
BH_54,0.16076350501522899,0.030156149200000003,5,0.10886038905577121,0.12385611299999999,5,0.2324780970811844,0.1414758861064911,5.0,,,,,,,0.1348119470355001,0.2324780970811844,0.5798909606027186,0.0087096370470987
BH_66,0.05233776026178873,0.017570278125000005,8,0.05384636502652154,0.04287505739,8,0.22717037796974182,0.18460911512374878,8.0,0.18470600247383118,0.15309648215770721,5.0,0.1692477911710739,0.1419895738363266,7.0,0.053092062644155134,0.2059381902217865,0.2578058134189549,0.7244353873869618
BH_72,0.08483477620006395,-0.018514221533333333,15,0.07104176647939157,0.07688627476,15,0.1626826673746109,0.1443399339914322,15.0,0.09744156897068024,0.05024588108062744,7.0,0.14049099385738373,0.14143985509872437,12.0,0.07793827133972776,0.13006211817264557,0.5992388286055117,0.2238723104986867
BH_78,0.041023306667607264,-0.029263777625,8,0.03441005339723348,0.043316149312499996,8,0.2775721549987793,0.10492084920406342,8.0,,,,0.19981649518013,0.23157134652137756,5.0,0.037716680032420374,0.2775721549987793,0.13588063266859834,0.3388439477987164
BH_84,0.05734745517857543,-0.010651895995454547,22,0.04686320501783003,0.04250311016818181,22,0.20614288747310638,0.07875233143568039,22.0,0.14575107395648956,0.10771224647760391,11.0,0.17850030958652496,0.13005980849266052,20.0,0.05210533009820273,0.17594698071479797,0.2961422235637171,0.1348963238056844
BH_85,0.0277814342002851,0.017432430769230768,13,0.06678681966359341,0.06757243392307691,13,0.15614831447601318,0.0849701538681984,13.0,0.12369341403245926,0.048126574605703354,10.0,0.15125605463981628,0.1457243263721466,10.0,0.04728412693193926,0.13992086052894592,0.33793479223319545,2.290865841769215
BH_90,0.10554903217493881,0.07016477859999999,5,0.10860697510878511,0.087790286,5,0.17113587260246277,0.10372396558523178,5.0,,,,,,,0.10707800364186196,0.17113587260246277,0.6256899971556344,0.1258926517592568
BH_92,0.07513501551340132,-0.012348197438461538,13,0.05291215939108869,0.016253379230769232,13,0.18193916976451874,0.20639902353286743,13.0,0.18112517893314362,0.24807225167751312,6.0,0.1865594983100891,0.23825517296791077,10.0,0.06402358745224501,0.18153217434883118,0.35268451822329666,0.2137961713919407
BH_99,0.032489311948052955,0.004226600136315791,19,0.040550728978552164,0.05715073721052632,19,0.23064467310905457,0.1546831727027893,19.0,0.1410742700099945,0.05348728224635124,17.0,0.14203549921512604,0.1436281055212021,18.0,0.03652002046330256,0.18585947155952454,0.1964926519852201,0.0954992627963111
Basel_17,0.07656586045820962,0.0035359624999999947,12,0.05137033800583023,0.067051864,12,0.2952471077442169,0.12640033662319183,12.0,0.0672878846526146,0.07698412239551544,8.0,0.17583884298801422,0.13731352984905243,12.0,0.06396809923201993,0.18126749992370605,0.35289337172379803,0.1047129651766653
