cluster_name,family,age_gyr,age_bin,ra_cl,dec_cl,dist_cl,C_O_mean,C_O_std,c_fe,o_fe,mg_fe,si_fe,al_fe,ba_fe,eu_fe,ce_fe,y_fe,mn_fe,ni_fe,fe_h
Teutsch_84,5,1.047129651766654,1-2,256.09,-42.07,0.406,0.43,0.1304,,,,,,-0.07663427293300629,0.21449939906597137,0.009184588678181171,0.00023110397160053253,-0.016274165362119675,0.055672693997621536,
Teutsch_85,4,,,258.309,-39.718,0.14,0.4112,0.0634,,,,,,0.11893355846405029,0.12030773609876633,0.0567183755338192,0.09869393706321716,0.015647608786821365,0.03866640850901604,
Tombaugh_2,3,1.621810239813303,1-2,105.773,-20.82,0.079,0.4527,0.0309,,,,,,0.2180854082107544,0.21116328239440918,0.06763292104005814,-0.052087683230638504,-0.03833600878715515,0.03263095021247864,
Trumpler_10,3,0.0323593827469971,<0.1,131.943,-42.566,2.287,0.3426,0.1238,,,,,,0.09128883481025696,0.1017150953412056,-0.028481345623731613,-0.03917841240763664,-0.053420133888721466,0.02676774188876152,
Trumpler_11,5,0.0275422906622152,<0.1,151.248,-61.619,0.248,0.3845,0.1197,,,,,,0.07343744486570358,0.10681108385324478,-0.06619606167078018,-0.01718222349882126,-0.029560696333646774,0.06867817044258118,
Trumpler_12,3,0.6606929837429628,0.5-1,151.621,-60.29,0.253,0.4033,0.127,,,,,,0.10506881028413773,0.11636330187320709,0.062034230679273605,-0.018498968333005905,-0.017224445939064026,0.0351509153842926,
Trumpler_13,3,0.1819701817628807,0.1-0.3,155.952,-60.142,0.189,0.4363,0.1183,,,,,,0.12152396142482758,0.08806364238262177,0.07937522232532501,-0.02802375517785549,-0.041292671114206314,0.040642183274030685,
Trumpler_14,4,0.0630957621586153,<0.1,160.986,-59.553,0.385,0.4023,0.0846,,,,,,0.07761310786008835,0.10140714794397354,0.008359914645552635,0.07589192688465118,0.027077781036496162,0.046056367456912994,
Trumpler_15,5,0.0089125054671134,<0.1,161.177,-59.369,0.398,0.3803,0.0515,,,,,,0.05873823165893555,0.04846798628568649,-0.0471956692636013,0.03441900387406349,0.042804837226867676,0.04911619797348976,
Trumpler_16,4,0.0134896323805684,<0.1,161.253,-59.7,0.389,0.4105,0.1003,,,,,,0.06445810943841934,0.12367621809244156,0.03602229803800583,0.07591794431209564,0.026540031656622887,0.042079199105501175,
Trumpler_17,4,0.0199526319125486,<0.1,164.108,-59.23,0.375,0.4134,0.0826,,,,,,0.10894220322370529,0.17411154508590698,0.03438114374876022,0.06874865293502808,-0.017056487500667572,0.02247956208884716,
Trumpler_18,4,0.0478629903136986,<0.1,167.826,-60.656,0.624,0.4405,0.1161,,,,,,0.07827453315258026,0.1322851926088333,0.01942739076912403,0.1250055581331253,0.054738640785217285,0.02682727575302124,
