cluster,age_gyr,n_match,n_rv,cl_rv,med_drv_match,med_drv_rand,ratio,frac_in10_match,frac_in10_rand,mw_p
IC_2602,0.0363078006932764,20216,20216,3.645117252372881,22.28949737548828,23.79031753540039,0.9369146646454439,0.24564701226751087,0.22912544519192718,7.0856027e-17
IC_2714,0.5248077829311784,10031,10031,-3.9977066000000003,24.643861770629883,24.495376586914062,1.0060617636633986,0.22071578107865616,0.2258000199381916,0.39460015
Juchert_13,2.290865841769215,5598,5598,-4.352086672727273,23.661399841308594,25.03614616394043,0.945089539195458,0.22704537334762415,0.22132904608788853,4.6111025e-05
LP_2059,0.2691536695250797,24883,24883,9.085856019047618,21.884647369384766,23.658103942871094,0.925038093594955,0.247759514527991,0.23413575533496764,1.4067929e-18
LP_2068,0.2238723104986867,15921,15921,-6.592465000000001,24.552215576171875,25.63960838317871,0.9575893363597457,0.2175742729728032,0.21242384272344703,7.8319795e-10
LP_2094,0.1479108648008083,2423,2423,-0.5394003999999997,23.468826293945312,24.293527603149414,0.9660526325087021,0.23937267849773008,0.2352455633512175,0.014998977
LP_2117,0.6309576215861531,21063,21063,-2.0164044947368414,23.270742416381836,24.735864639282227,0.9407693143431227,0.2333000997008973,0.22019655319755022,1.2663176e-17
LP_2210,0.1288248533293804,6140,6140,-41.89137658571428,48.88410186767578,48.933441162109375,0.9989917060140908,0.09332247557003258,0.08273615635179153,0.12896122
LP_2220,0.4570880290185208,12673,12673,46.33569388888888,38.91727828979492,42.465816497802734,0.9164377727626779,0.11054998816381283,0.1062889607827665,5.2157236e-22
LP_597,0.5370312303176601,18954,18954,-32.323740571428566,39.20246124267578,41.00370788574219,0.9560711278090844,0.1205022686504168,0.11121662973514826,1.4448809e-12
LP_930,2.290865841769215,5907,5907,14.788280466666668,24.15899658203125,24.700958251953125,0.9780590831985629,0.22752666328085322,0.2149991535466396,0.003991337
Lynga_14,,20812,20812,-35.98286625714286,42.7936897277832,43.76871109008789,0.9777233247673702,0.09864501249279262,0.1012396694214876,2.04788e-06
Melotte_101,0.1659587927845761,23052,23052,-2.4731972033333336,23.71556282043457,24.37941551208496,0.9727699504805061,0.22913413152871767,0.22106541731736942,1.1482062e-08
Muzzio_1,0.0077624687798841,24212,24212,20.578744811764707,24.045658111572266,26.33045196533203,0.9132261817317819,0.22526020155294896,0.20440277548323146,1.9674738e-28
NGC_2112,2.089294662720361,19821,19821,25.33164914206897,25.678070068359375,28.26960563659668,0.9083278485893553,0.20654861006003733,0.18475354422077594,9.309558e-29
NGC_2232,0.0177827941003892,17956,17956,34.20635532666667,31.664377212524414,33.317596435546875,0.9503799973620358,0.16145021162842504,0.15175985742927156,1.2880306e-09
NGC_2254,0.3467368199963294,24991,24991,41.236652666666664,35.80386734008789,38.73495864868164,0.92432956143885,0.1325277099755912,0.1236044976191429,1.2182899e-26
NGC_2287,0.1698241862446276,13195,13195,77.29973688888889,69.80976104736328,71.49371337890625,0.9764461481722418,0.034482758620689655,0.031678666161424784,8.688066e-05
NGC_2318,0.4365161773191,16692,16692,59.93404233333334,53.05470657348633,54.360267639160156,0.9759831744328402,0.06643901270069494,0.06314402108794633,0.0001371218
NGC_2516,0.239883355113592,19507,19507,11.678441041666666,23.506061553955078,23.819717407226562,0.9868320917536861,0.2291485107909981,0.22335571846004,0.00046360548
NGC_2527,0.6918312139914402,15140,15140,50.37482911111111,42.63974380493164,46.279273986816406,0.92135723255033,0.10231175693527081,0.09207397622192867,1.7057704e-26
NGC_2533,1.047129651766654,18348,18348,50.167997041666666,42.842594146728516,45.871307373046875,0.933973688569906,0.10186396337475474,0.0908000872029649,5.9038853e-21
NGC_2539,0.6918312139914402,16726,16726,33.2137629,29.845661163330078,33.0056266784668,0.9042597934612673,0.1696759536051656,0.15604448164534257,2.8537759e-34
NGC_2547,0.0323593827469971,28129,28129,31.280639914285718,28.951112747192383,31.423606872558594,0.9213173034084329,0.17583277045042484,0.16530982260300758,5.8076807e-27
NGC_2548,0.3890452816839944,17891,17891,37.544810621052626,33.88693618774414,35.37502670288086,0.9579338687816303,0.14823095411100554,0.13666089095075737,9.675987e-09
NGC_2587,0.3162277660168379,11990,11990,61.503780857142864,55.55695343017578,56.182743072509766,0.9888615327748178,0.07105921601334446,0.06121768140116764,0.043900456
NGC_2588,0.5495405842387225,25087,25087,61.584773,54.293739318847656,56.48832702636719,0.9611497131700296,0.06027025949695061,0.058077888946466295,3.376252e-19
NGC_2632,0.6760828566222641,21595,21595,19.27398813333333,24.42154884338379,25.682727813720703,0.9508938855917344,0.21528131511924056,0.2129196573280852,1.27800055e-08
NGC_2660,0.9332548746146908,19685,19685,28.677646000000006,28.464754104614258,29.739601135253906,0.9571330151725398,0.18313436626873253,0.1746507493014986,2.7861924e-10
NGC_2670,0.102329353157667,18288,18288,28.339791416666667,28.134899139404297,29.983436584472656,0.9383480462667961,0.18771872265966755,0.17268153980752407,3.9518467e-12
NGC_2682,4.265796312095559,25264,25264,34.64872795948718,31.10521125793457,33.53981018066406,0.9274116666249633,0.1625237492083597,0.15072830905636478,3.9528293e-23
NGC_2910,0.1288248533293804,11420,11420,17.549734489285715,22.690223693847656,25.057565689086914,0.9055238635463188,0.23353765323992995,0.2135726795096322,7.139025e-16
NGC_2925,0.1288248533293804,16948,16948,32.927080749999995,29.839818954467773,32.22749328613281,0.925911881806444,0.17252773188576823,0.15854378097710645,2.3897005e-17
NGC_2972,0.4897783461428336,10023,10023,16.844440956666666,19.890522003173828,25.291980743408203,0.7864359144096634,0.2643918986331438,0.2180983737403971,0.0
NGC_3105,0.021877623926123,27627,27627,18.44593878181818,23.54629898071289,25.480409622192383,0.9240942092314339,0.227965396170413,0.20679045860933146,3.4444426e-30
NGC_3228,0.0301995185303324,13006,13006,14.215998333333335,23.065677642822266,24.495737075805664,0.9416200692978591,0.22774104259572506,0.2229740119944641,2.2233375e-05
NGC_3255,0.2238723104986867,22211,22211,14.980123700000002,22.79055404663086,24.434911727905273,0.9327045786133732,0.23546891180045923,0.21714465805231642,1.6878809e-14
NGC_3766,0.0229086835704537,20310,20310,11.475575725,22.049705505371094,23.855213165283203,0.9243139163166361,0.24037419990152634,0.22890201870999508,1.7039252e-24
NGC_4349,0.3162277660168379,19947,19947,-23.9403245,33.14986801147461,34.73084259033203,0.9544792334149268,0.1443826139269063,0.14322955832957338,1.530049e-09
NGC_5168,0.602559215586761,24030,24030,-22.74800415625,32.79798889160156,33.79606246948242,0.9704677555622904,0.1463171036204744,0.14173949230129004,3.0442548e-10
