cluster,N,C_O_mean,C_O_std,intrinsic_scatter,feh_mean,feh_std,rv_mean,rv_std,age_gyr,age_bin,R_gal,Z_gal,abs_Z
NGC_5749,8,0.4823,0.095,0.0,-0.01,0.201,-20.38,21.12,0.0524807206714521,<0.1,7.306088356844129,0.10766332482557751,0.10766332482557751
BH_202,4,0.4984,0.0953,0.0,0.098,0.049,-28.83,27.74,0.3801893295314407,0.3-0.5,6.394677822556192,0.06694966259390696,0.06694966259390696
Trumpler_19,12,0.4234,0.0953,0.0,-0.058,0.185,-15.92,19.98,4.897783461428336,2-5,7.623475877567818,0.15332181907694217,0.15332181907694217
UBC_512,13,0.419,0.0954,0.0,0.007,0.156,-4.57,19.1,0.2951211041237279,0.1-0.3,7.872411751795399,-0.002710535640683503,0.002710535640683503
Ruprecht_61,17,0.4472,0.0958,0.0,-0.177,0.144,51.77,23.7,,,9.827661203966452,0.16180232380224577,0.16180232380224577
ASCC_73,4,0.5046,0.0958,0.0,-0.169,0.384,23.2,59.84,0.3388439477987164,0.3-0.5,7.798608508904242,-0.030274469232468914,0.030274469232468914
Ruprecht_1,27,0.3359,0.0958,0.0557,-0.187,0.238,45.99,37.55,0.2884031756450284,0.1-0.3,9.310504531260044,-0.24311734230202078,0.24311734230202078
NGC_2587,7,0.4244,0.0958,0.0,-0.205,0.257,61.5,33.47,0.3162277660168379,0.3-0.5,9.830442031723774,0.28862553548036113,0.28862553548036113
Ruprecht_83,4,0.4357,0.0959,0.0,-0.001,0.114,8.38,47.27,0.1122018947073786,0.1-0.3,8.725011936319941,-0.030786679338437633,0.030786679338437633
NGC_3255,20,0.4529,0.0959,0.0,-0.03,0.199,14.98,33.31,0.2238723104986867,0.1-0.3,9.889345234552005,-0.36779623811053413,0.36779623811053413
ESO_130_08,18,0.4238,0.096,0.0327,-0.071,0.176,-7.86,23.0,0.1778279410038923,0.1-0.3,7.576807794485341,0.09124192634957902,0.09124192634957902
BH_78,8,0.3894,0.096,0.0,0.047,0.221,16.82,17.48,0.3388439477987164,0.3-0.5,9.646764044379655,-0.2861242817397333,0.2861242817397333
Ruprecht_54,35,0.3976,0.0961,0.0,-0.146,0.179,53.41,27.26,0.2754226042194985,0.1-0.3,11.02430358826379,0.11247671311170444,0.11247671311170444
UBC_239,26,0.3479,0.0962,0.0391,-0.133,0.211,53.56,26.06,0.2754226042194985,0.1-0.3,9.110739992906355,0.12021523232308025,0.12021523232308025
Danks_2,4,0.398,0.0962,0.0,-0.002,0.082,-32.17,13.04,,,7.289184580594015,0.021249353427076196,0.021249353427076196
NGC_3105,11,0.3832,0.0963,0.0162,-0.015,0.129,18.45,19.58,0.021877623926123,<0.1,11.467999143829946,0.06093592039240654,0.06093592039240654
UBC_216,19,0.3034,0.0965,0.0,-0.15,0.234,55.0,30.94,0.0616594947701844,<0.1,9.116017004886505,-0.07795734719817586,0.07795734719817586
DBSB_104,5,0.5322,0.0965,0.0,0.032,0.131,-36.86,45.25,0.0269153374005781,<0.1,7.1248385298568175,-0.09435235768291937,0.09435235768291937
Stock_16,16,0.4569,0.0966,0.0,0.061,0.161,-21.42,37.19,,,6.564958317074844,0.019885399344900707,0.019885399344900707
UBC_646,28,0.3483,0.0967,0.0,-0.159,0.226,50.02,33.17,0.0229086835704537,<0.1,14.264480106701171,0.14148596950434653,0.14148596950434653
NGC_2527,9,0.3481,0.0967,0.0,-0.198,0.188,50.37,22.06,0.6918312139914402,0.5-1,8.406933070157674,0.0427352153283241,0.0427352153283241
Gulliver_1,20,0.3404,0.097,0.0219,-0.071,0.202,9.36,31.34,1.380385355838289,1-2,7.8262869963284984,0.11553481603005251,0.11553481603005251
Haffner_9,12,0.2758,0.0973,0.0457,-0.15,0.209,57.04,24.5,0.3801893295314407,0.3-0.5,10.226553996638254,-0.004878143473372936,0.004878143473372936
Ruprecht_78,20,0.4113,0.0977,0.0,-0.08,0.21,29.61,20.37,,,12.470980572255113,-0.3204906227229242,0.3204906227229242
UBC_541,18,0.5057,0.0977,0.0,0.054,0.133,-13.24,26.04,0.021877623926123,<0.1,5.974827249986199,0.05293159172064073,0.05293159172064073
NGC_2632,15,0.3923,0.0977,0.0,-0.146,0.205,19.27,21.98,0.6760828566222641,0.5-1,8.263572853527371,0.12118739552173362,0.12118739552173362
Teutsch_44,18,0.4472,0.0978,0.0,-0.096,0.19,19.37,28.42,2.5703948796691973,2-5,11.469645329599814,0.40999255420911057,0.40999255420911057
Stock_14,11,0.463,0.0978,0.0,-0.014,0.161,-14.34,17.24,0.0363078006932764,<0.1,7.398805223681132,-0.013086721233367331,0.013086721233367331
