MAIN RUN: 8000 simulations
  to do: 8000 simulations across 4 workers
    5900/8000  elapsed=774s  rate=7.62/s  ETA=276s
    5925/8000  elapsed=778s  rate=7.62/s  ETA=272s
    5950/8000  elapsed=781s  rate=7.62/s  ETA=269s
    5975/8000  elapsed=784s  rate=7.62/s  ETA=266s
    6000/8000  elapsed=787s  rate=7.63/s  ETA=262s
    6025/8000  elapsed=790s  rate=7.62/s  ETA=259s
    6050/8000  elapsed=793s  rate=7.63/s  ETA=256s
    6075/8000  elapsed=797s  rate=7.63/s  ETA=252s
    6100/8000  elapsed=799s  rate=7.63/s  ETA=249s
    6125/8000  elapsed=804s  rate=7.62/s  ETA=246s
    6150/8000  elapsed=806s  rate=7.63/s  ETA=243s
    6175/8000  elapsed=810s  rate=7.63/s  ETA=239s
    6200/8000  elapsed=813s  rate=7.63/s  ETA=236s
    6225/8000  elapsed=816s  rate=7.63/s  ETA=233s
    6250/8000  elapsed=819s  rate=7.63/s  ETA=229s
    6275/8000  elapsed=822s  rate=7.63/s  ETA=226s
    6300/8000  elapsed=826s  rate=7.63/s  ETA=223s
    6325/8000  elapsed=829s  rate=7.63/s  ETA=220s
    6350/8000  elapsed=832s  rate=7.63/s  ETA=216s
    6375/8000  elapsed=835s  rate=7.63/s  ETA=213s
    6400/8000  elapsed=838s  rate=7.63/s  ETA=210s
    6425/8000  elapsed=842s  rate=7.63/s  ETA=206s
    6450/8000  elapsed=845s  rate=7.63/s  ETA=203s
    6475/8000  elapsed=848s  rate=7.63/s  ETA=200s
    6500/8000  elapsed=851s  rate=7.64/s  ETA=196s
    6525/8000  elapsed=855s  rate=7.63/s  ETA=193s
    6550/8000  elapsed=858s  rate=7.63/s  ETA=190s
    6575/8000  elapsed=861s  rate=7.63/s  ETA=187s
    6600/8000  elapsed=865s  rate=7.63/s  ETA=183s
    6625/8000  elapsed=868s  rate=7.64/s  ETA=180s
    6650/8000  elapsed=871s  rate=7.63/s  ETA=177s
    6675/8000  elapsed=874s  rate=7.64/s  ETA=173s
    6700/8000  elapsed=878s  rate=7.63/s  ETA=170s
    6725/8000  elapsed=881s  rate=7.63/s  ETA=167s
    6750/8000  elapsed=884s  rate=7.64/s  ETA=164s
    6775/8000  elapsed=888s  rate=7.63/s  ETA=161s
    6800/8000  elapsed=890s  rate=7.64/s  ETA=157s
    6825/8000  elapsed=894s  rate=7.63/s  ETA=154s
    6850/8000  elapsed=897s  rate=7.64/s  ETA=151s
    6875/8000  elapsed=901s  rate=7.63/s  ETA=147s
    6900/8000  elapsed=903s  rate=7.64/s  ETA=144s
    6925/8000  elapsed=907s  rate=7.63/s  ETA=141s
    6950/8000  elapsed=911s  rate=7.63/s  ETA=138s
    6975/8000  elapsed=913s  rate=7.64/s  ETA=134s
    7000/8000  elapsed=917s  rate=7.64/s  ETA=131s
